Nom,Dosage,Forme,DCI,Classe,Sous Classe,Indications,G/P/B
MEDZAR FORT,100 mg,Comprimé pelliculé sécable,LOSARTAN,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"· Traitement de l'hypertension artérielle essentielle chez les adultes
et les enfants et adolescents âgés de 6 à 18 ans.
· Traitement de l'atteinte rénale chez les patients adultes
diabétiques de type 2, hypertendus, avec protéinurie = 0,5 g/jour,
da",Générique
MEFALGIC,1%,Suspension buvable,ACIDE MEFENAMIQUE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Ce médicament est indiqué:
-  chez l'enfant à partir de 12 ans dans le traitement symptomatique
des affections douloureuses telles que douleurs dentaires et algies
d'origine diverses.
- Chez le nourrisson  et l'enfant de moins de 12 ans dans des
path",Générique
MEFALGIC,250 mg,Gélule,ACIDE MEFENAMIQUE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"- Traitement symptomatique des douleurs d'intensité légère à modérée
(céphalées, douleurs dentaires).
- Douleurs de l'appareil locomoteur;
- Dysménorrhées après recherche étiologique
- Ménorragies fonctionnelles ( restant inexpliquées après enquête
é",Générique
MEFENAL,250 mg,Gélule,ACIDE MEFENAMIQUE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"- Traitement symptomatique des douleurs d'intensité légère à modérée
(céphalées, douleurs dentaires).
- Douleurs de l'appareil locomoteur;
- Dysménorrhées après recherche étiologique;
- Ménorragies fonctionnelles (restant inexpliquées après enquête
é",Générique
MEFENAL,1%,Suspension buvable,ACIDE MEFENAMIQUE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Ce médicament est indiqué:
-  chez l'enfant à partir de 12 ans dans le traitement symptomatique
des affections douloureuses telles que douleurs dentaires et algies
d'origine diverses.
- Chez le nourrisson  et l'enfant de moins de 12 ans dans des
path",Générique
MEFIL,500 mg,Comprimé pelliculé,MYCOPHENOLATE MOFETIL,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"MEFIL est indiqué en association à la ciclosporine et aux corticoïdes
pour la prévention des rejets aigus d'organe chez les patients ayant
bénéficié d'une allogreffe rénale, cardiaque ou hépatique.",Générique
MEFIL,250 mg,Comprimé pelliculé,MYCOPHENOLATE MOFETIL,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"MEFIL est indiqué en association à la ciclosporine et aux corticoïdes
pour la prévention des rejets aigus d'organe chez les patients ayant
bénéficié d'une allogreffe rénale, cardiaque ou hépatique.",Générique
MEFOR,1 gr,Comprimé pelliculé sécable,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2 de l'adulte, en particulier en cas de
surcharge pondérale, lorsque le régime alimentaire et l'exercice
physique ne sont pas suffisants pour rétablir l'équilibre glycémique.
MEFOR 1000 mg peut être utilisé en monothérap",Générique
MEFOR,850 mg,Comprimé pelliculé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
Chez l'adulte, MEFOR 850 mg peut être utilisé en monothér",Générique
MEGACE,160 MG,Comprimé,MEGESTROL,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"MENACE EST INDIQUE DANS LE TRAITEMENT PALLIATIF DES CARCINOMES DU
SEIN.MEGACE NE PEUT REMPLACER UN TRAITEMENT CHIRURGICAL,
RADIOTHERAPIQUE OU CHIMIOTHERAPIQUE DANS LE CAS OU CELUI-CI EST
INDIQUE.",Princeps
MEGACEF,200 MG,Gélule,CEFIXIME,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Médicament réservé à l'adulte et aux infections dues aux germes
définis comme sensibles, lorsque ces infections permettent une
antibiothérapie orale et notamment:
* Surinfections bactériennes des bronchites aiguës et exacerbations
des bronchites chro",Générique
MEGACEF,200 mg,Gélule,CEFIXIME,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Médicament réservé à l'adulte et aux infections dues aux germes
définis comme sensibles, lorsque ces infections permettent une
antibiothérapie orale et notamment:
* Surinfections bactériennes des bronchites aiguës et exacerbations
des bronchites chro",Générique
MEGACEF ENFANTS,100 mg/5 mg,Poudre pour suspension orale,CEFIXIME,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles sont limitées, chez l'enfant de plus de 6 mois, aux infections
dues aux germes définis comme sensibles, lorsque ces infections
permettent une antibiothérapie orale, et notamment :
- infections bronchiques et pulmonaires.
- otites moyennes aiguë",Générique
MEGACEF ENFANTS,100 MG/5ML,Poudre pour suspension orale,CEFIXIME,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles sont limitées, chez l'enfant de plus de 6 mois, aux infections
dues aux germes définis comme sensibles, lorsque ces infections
permettent une antibiothérapie orale, et notamment :
- infections bronchiques et pulmonaires.
- otites moyennes aiguë",Générique
MEGACEF NOURRISSONS,40 mg/5 ml,Poudre pour suspension orale,CEFIXIME,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles sont limitées, chez l'enfant de plus de 6 mois, aux infections
dues aux germes définis comme sensibles, lorsque ces infections
permettent une antibiothérapie orale, et notamment :
- infections bronchiques et pulmonaires.
- otites moyennes aiguë",Générique
MEGACEF NOURRISSONS,40 MG/5ML,Poudre pour suspension orale,CEFIXIME,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Elles sont limitées, chez l'enfant de plus de 6 mois, aux infections
dues aux germes définis comme sensibles, lorsque ces infections
permettent une antibiothérapie orale, et notamment :
- infections bronchiques et pulmonaires.
- otites moyennes aiguë",Générique
MEGAMAG,,Gélule,MAGNESIUM,APPAREIL DIGESTIF ET METABOLISME,COMPLEMENTS MINERAUX,"Carences magnésiennes avérées, isolées ou associées.",Princeps
MEGAPLATIN,150 mg/15 ml,Solution injectable,CARBOPLATINE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"- Carcinome de l'ovaire d'origine épithéliale
- Carcinome bronchique à petites cellules
- Carcinome épidermoide des voies aérodigestives supérieures.",Générique
MELADENINE,0.10%,Solution externe,METHOXSALENE,MEDICAMENTS DERMATOLOGIQUES,ANTI-PSORIASIS,"Dans le cadre de la photochimiothérapie:
psoriasis, vitiligo, mycosis fongoîde, lymphomes T cutanés, lichen
plan, pelade décalvante, photodermatoses, mastocytose cutanée,
dermatite atopique.",Princeps
MELADININE,10 MG,Comprimé,METHOXSALENE,MEDICAMENTS DERMATOLOGIQUES,ANTI-PSORIASIS,"Dans le cadre de la photochimiothérapie:
psoriasis, vitiligo, mycosis fongoîde, lymphomes T cutanés, lichen
plan, pelade décalvante, photodermatoses, mastocytose cutanée,
dermatite atopique.",Princeps
MELIOR,0.5 mg,Gélule,FINGOLIMOD,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"MELIOR est indiqué dans le traitement des patients atteints de
sclérose en plaques récurrente-rémittante (évoluant par poussées et
rémissions) pour réduire la fréquence des poussées et ralentir la
progression du handicap.",Générique
MEMIXA,10 mg,Comprimé pelliculé sécable,MEMANTINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"Traitement des patients atteints d'une forme modérée à sévère de la
maladie d'Alzheimer.",Générique
MEMIXA,10 mg,Comprimé pelliculé sécable,MEMANTINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"Traitement des patients atteints d'une forme modérée à sévère de la
maladie d'Alzheimer.",Générique
MEMIXA,20 mg,Comprimé pelliculé sécable,MEMANTINE,SYSTEME NERVEUX,PSYCHOANALEPTIQUES,"Traitement des patients atteints d'une forme modérée à sévère de la
maladie d'Alzheimer.",Générique
MENAVEN,,Gel dermique,HEPARINE SODIQUE,SANG ET ORGANES HEMATOPOIETIQUES,AGENTS ANTITHROMBOTIQUES,"Traitement:
- des troubles du système veineux superficiel.
- de la thrombophlébite superfiielle
- des phlébites causées par des cathéters intraveineux.",Générique
MENOPUR,75 UI,Pdre p.prep.injectable,GONADOTROPHINE POSTMENOPAUSIQUE HUMAINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Menopur est indiqué dans le traitement de l'infertilité dans les
situations cliniques suivantes :
Chez la femme:
·  Anovulation, y compris le syndrome des ovaires polykystiques
(SOPK), chez les femmes qui n'ont pas répondu au traitement par le
citrat",Princeps
MEPRAZOL,20 MG,Gélule,OMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Les comprimés MEPRAZOLE sont indiquées dans :
Adultes :
· Traitement des ulcères duodénaux
· Prévention des récidives d'ulcères duodénaux
· Traitement des ulcères gastriques
· Prévention des récidives d'ulcères gastriques
· En association à des antib",Générique
MEPRAZOL,10 mg,Gélule,OMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Les gélules de MEPRAZOL sont indiquées dans :
Adultes :
· Traitement des ulcères duodénaux
· Prévention des récidives d'ulcères duodénaux
· Traitement des ulcères gastriques
· Prévention des récidives d'ulcères gastriques
· En association à des antib",Générique
MEPRAZOL,20 MG,Gélule,OMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Les comprimés MEPRAZOLE sont indiquées dans :
Adultes :
· Traitement des ulcères duodénaux
· Prévention des récidives d'ulcères duodénaux
· Traitement des ulcères gastriques
· Prévention des récidives d'ulcères gastriques
· En association à des antib",Générique
MEPRAZOL,20 MG,Gélule,OMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Les gélules de MOPRAL sont indiquées dans :
Adultes :
· Traitement des ulcères duodénaux
· Prévention des récidives d'ulcères duodénaux
· Traitement des ulcères gastriques
· Prévention des récidives d'ulcères gastriques
· En association à des antibio",Générique
MEPROBAMATE,400 MG,Comprimé,MEPROBAMATE,SYSTEME NERVEUX,PSYCHOLEPTIQUES,"- Anxiété sévère, en particulier prémidication;
- Contractures douloureuses réflexes.",Générique
MEPROBAMATE,400 MG,Comprimé,MEPROBAMATE,SYSTEME NERVEUX,PSYCHOLEPTIQUES,"- Anxiété sévère, en particulier prémédication.
- Contractures douloureuses réflexes.",Générique
MERCUR SOL COMPLEXE N°39,,Comprimé,PRODUITS HOMEOPATHIQUES,DIVERS,TOUS LES AUTRES PRODUITS THERAPEUTIQUES,"Médicament homéopathique traditionnellement utilisé dans les
rhinopharyngites, les maux de gorge et  les trachéites.",Princeps
MERIONAL,150 UI/ ml,Pdre p.prep.injectable,GONADOTROPHINE MENOPAUSIQUE HUMAINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Stimulation de la maturation folliculaire en cas d'infertilité de la
femme.
1- Stimulation folliculaire simple.
Anovulation hypo-et normo-gonadotrope accompagnée ou non de troubles
menstruels; insuffisance lutéale;
Chez les patients ne répondant pas",Princeps
MERIONAL,75 UI/ ml,Pdre p.prep.injectable,GONADOTROPHINE MENOPAUSIQUE HUMAINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Stimulation de la maturation folliculaire en cas d'infertilité de la
femme.
1- Stimulation folliculaire simple.
Anovulation hypo-et normo-gonadotrope accompagnée ou non de troubles
menstruels; insuffisance lutéale;
Chez les patients ne répondant pas",Princeps
MERIONAL HG,150 UI/ ml,Pdre p.prep.injectable,GONADOTROPHINE MENOPAUSIQUE HUMAINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Induction de l'ovulation: induction de l'ovulation dans un contexte
d'aménorrhée ou d'anovulation chez les femmes qui n'ont pas répondu au
traitement par citrate de clomifène.
Hyperstimulation ovarienne contrôlée (HOC) pour induire le
développement d",Princeps
MERIONAL HG,75 UI/ ml,Pdre p.prep.injectable,GONADOTROPHINE MENOPAUSIQUE HUMAINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Induction de l'ovulation: induction de l'ovulation dans un contexte
d'aménorrhée ou d'anovulation chez les femmes qui n'ont pas répondu au
traitement par citrate de clomifène.
Hyperstimulation ovarienne contrôlée (HOC) pour induire le
développement d",Princeps
MEROPENEM KABI,1 gr,Poudre pour solution injectable,MEROPENEME,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Meropenem kabi 1 gr, poudre pour solution injectable ou pour perfusion
est indiqué chez l'adulte et l'enfant de plus de 3 mois dans le
traitement des infections suivntes:
- pneumonies, y compris pneumonies communautaires et pneumonies
nosocomiales.
-",Générique
MESATEC,500 MG,Comprimé gastro-résistant,MESALAZINE,APPAREIL DIGESTIF ET METABOLISME,"ANTIDIARRHEIQUES, ANTI-INFLAMMATOIRES INTESTINAUX/AGENTS ANTI-INFECTIEUX","- Rectocolite hémorragique , traitement d'attaque des poussées légères
à modérées et traitement d'entretien
- Maladie de Crohn , traitement d'attaque des poussées légères à
modérées et prévention des poussées aiguës pour les formes fréquemment
récidi",Générique
MESATEC,500 MG,Comprimé gastro-résistant,MESALAZINE,APPAREIL DIGESTIF ET METABOLISME,"ANTIDIARRHEIQUES, ANTI-INFLAMMATOIRES INTESTINAUX/AGENTS ANTI-INFECTIEUX","- Rectocolite hémorragique , traitement d'attaque des poussées légères
à modérées et traitement d'entretien
- Maladie de Crohn , traitement d'attaque des poussées légères à
modérées et prévention des poussées aiguës pour les formes fréquemment
récidi",Générique
MESONE,0.10%,Creme dermique,MOMETASONE,MEDICAMENTS DERMATOLOGIQUES,PREPARATIONS DERMATOLOGIQUES DE CORTICOSTEROIDES,"Indications limitées aux dermatoses corticosensibles tels que la
dermatite atopique, eczéma  et psoriasis.",Générique
MESONE,0.10%,Pommade  dermique,MOMETASONE,MEDICAMENTS DERMATOLOGIQUES,PREPARATIONS DERMATOLOGIQUES DE CORTICOSTEROIDES,"Traitement symptomatique des affections cuttanées inflammatoires qui
répondent  à un traitement  externe par les glucocorticoides, tels la
dermatite atopique et le psoriasis (à l'exception du psoriasis en
plaques étendu).
Mésone pommade doit de préfé",Générique
MESONE,50 mcg/dose,Spray nasal,MOMETASONE,SYSTEME RESPIRATOIRE,MEDICAMENTS POUR LE NEZ,"MESONE pulvérisation nasale est indiqué chez les adultes et les
enfants à partir de 3 ans en traitement symptomatique de la rhinite
allergique saisonnière ou de la rhinite perannuelle.
MESONE pulvérisation nasale est indiqué dans le traitement de la
",Générique
MESOPRAL,40 mg,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"- Reflux gastro-oesophagien : traitement de l'oesophagite érosive par
reflux.
- Traitement du syndrome de Zollinger-Ellison.
- Poursuite du traitement après prévention par voie intraveineuse de
la récidive hémorragique d'un ulcère gastro-duodénal.",Générique
MESOPRAL,20 mg,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"1/ Reflux gastro-oesophagien :
- Traitement de l'oesophagite érosive par reflux,
- Traitement d'entretien et prévention des récidives après
cicatrisation d'une oesophagite par reflux gastro-oesophagien,
- Traitement symptomatique du reflux gastro-oes",Générique
MESOPRAL,20 mg,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Les gélules de MESOPRAL sont indiquées chez les adultes dans:
1/ Reflux gastro-oesophagien :
- Traitement de l'oesophagite érosive par reflux,
- Traitement d'entretien et prévention des récidives après
cicatrisation d'une oesophagite par reflux gastr",Générique
MESOPRAL,20 mg,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"1/ Reflux gastro-oesophagien :
- Traitement de l'oesophagite érosive par reflux,
- Traitement d'entretien et prévention des récidives après
cicatrisation d'une oesophagite par reflux gastro-oesophagien,
- Traitement symptomatique du reflux gastro-oes",Générique
MESOPRAL,40 mg,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"- Reflux gastro-oesophagien : traitement de l'oesophagite érosive par
reflux.
- Traitement du syndrome de Zollinger-Ellison.
- Poursuite du traitement après prévention par voie intraveineuse de
la récidive hémorragique d'un ulcère gastro-duodénal.",Générique
MESOPRAL,40 mg,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"- Reflux gastro-oesophagien : traitement de l'oesophagite érosive par
reflux.
- Traitement du syndrome de Zollinger-Ellison.
- Poursuite du traitement après prévention par voie intraveineuse de
la récidive hémorragique d'un ulcère gastro-duodénal.",Générique
METALYSE,10 000 U,Pdre p.prep.injectable,TENECTEPLASE,SANG ET ORGANES HEMATOPOIETIQUES,AGENTS ANTITHROMBOTIQUES,"Traitement thrombolytique indiqué chez l'adulte en cas de suspiscion
d'infarctus du myocarde avec, soit persistance d'un sus-décalage du
segment ST, soit un bloc de branche gauche récent, dans les 6 heures
suivant l'apparaition des symptômes d'infarc",Princeps
METEOSPASMYL,60 MG,Capsule molle,ALVERINE CITRATE+SIMETICONE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"UTILISE DANS LE TRAITEMENT SYMPTOMATIQUE DES MANIFESTATIONS
FONCTIONNELLES INTESTINALES NOTAMMENT AVEC METEORISME.",Princeps
METEOXANE,,Gélule,PHLOROGLUCINOL+SIMETHICONE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"Traitement d'appoint des manifestations fonctionnelles intestinales
notamment avec météorisme et diarrhée.",Princeps
METFORAL,850 MG,Comprime enrobé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
Chez l'adulte, METFORAL peut être utilisé en monothérapie",Générique
METFORAL,850 mg,Comprime enrobé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
Chez l'adulte, METFORAL peut être utilisé en monothérapie",Générique
METFORMINE MYLAN PHARMA,850 MG,Comprimé pelliculé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
Chez l'adulte, METFORMINE MYLAN PHARMA 850 mg, comprimé d",Générique
METFORMINE MYLAN PHARMA,850 MG,Comprimé pelliculé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
Chez l'adulte, METFORMINE MYLAN PHARMA, peut être utilisé",Générique
METFORMINE OPALIA,850 mg,Comprimé pelliculé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
Chez l'adulte, METFORMINE OPALIA  peut être utilisé en mo",Générique
METFORMINE SANOFI,1000 MG,Comprimé pelliculé sécable,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2 , en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
* Chez l'adulte, Metformine sanofi peut être utilisé en",Générique
METFORMINE SANOFI,850 mg,Comprimé pelliculé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
· Chez l'adulte, METFORMINE SANOFI 850 mg, comprimé pelli",Générique
METFORMINE SANOFI,850 mg,Comprimé pelliculé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
· Chez l'adulte, METFORMINE SANOFI 850 mg, comprimé pelli",Générique
METFORMINE SANOFI,1000 mg,Comprimé pelliculé sécable,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
· Chez l'adulte, METFORMINE SANOFI peut être utilisé en m",Générique
METFORMINE SANOFI,850 mg,Comprimé pelliculé,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2, en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
· Chez l'adulte, METFORMINE SANOFI 850 mg, comprimé pelli",Générique
METFORMINE SANOFI,1000 MG,Comprimé pelliculé sécable,METFORMINE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète de type 2 , en particulier en cas de surcharge
pondérale, lorsque le régime alimentaire et l'exercice physique ne
sont pas suffisants pour rétablir l'équilibre glycémique.
* Chez l'adulte, Metformine sanofi peut être utilisé en",Générique
METHACIN 100,100 MG,Suppositoire,INDOMETACINE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Chez l'adulte (plus de 15 ans), au : Traitement symptomatique au long
cours de :
- rhumatismes inflammatoires chroniques, notamment polyarthrite
rhumatoïde, spondylarthrite ankylosante ;
- certaines arthroses invalidantes et douloureuses.
Traitement",Générique
METHACIN 100,100 MG,Suppositoire,INDOMETACINE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Chez l'adulte (plus de 15 ans), au : Traitement symptomatique au long
cours de :
- rhumatismes inflammatoires chroniques, notamment polyarthrite
rhumatoïde, spondylarthrite ankylosante ;
- certaines arthroses invalidantes et douloureuses.
Traitement",Générique
METHACIN 50,50 MG,Suppositoire,INDOMETACINE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Chez l'adulte (plus de 15 ans), au : Traitement symptomatique au long
cours de :
- rhumatismes inflammatoires chroniques, notamment polyarthrite
rhumatoïde, spondylarthrite ankylosante ;
- certaines arthroses invalidantes et douloureuses.
Traitement",Générique
METHACIN 50,50 MG,Suppositoire,INDOMETACINE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Chez l'adulte (plus de 15 ans), au : Traitement symptomatique au long
cours de :
- rhumatismes inflammatoires chroniques, notamment polyarthrite
rhumatoïde, spondylarthrite ankylosante ;
- certaines arthroses invalidantes et douloureuses.
Traitement",Générique
METHERGIN,0.20 mg/ml,Solution injectable,METHYLERGOMETRINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,AUTRES MEDICAMENTS GYNECOLOGIQUES,"Conduite active de la délivrance( pour favoriser l'expulsion du
placenta et réduire les pertes sanguines).
Traitement de l'atonie et des hémorragies utérines survenant pendant
et après la délivrance, en cas de césarienne ou aprés avortement.
Traiteme",Princeps
METHOTREXAT-EBEWE,500 MG,Solution injectable,METHOTREXATE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"DIVERSES AFFECTIONS NEOPLASIQUES TELLES QUE:
- CHORIOCARCINOME ET AUTRES TUMEURS TROPHOBLASTIQUES,
- LEUCEMIES ET LEUCEMIE MENINGEE,
- LYMPHOMES NON HODGKINIENS,
- CANCER DU SEIN,
- OSTEOSARCOME,
- CARCINOME BRONCHIQUE,
- MALIGNOMES DE LA TETE ET DU",Générique
METHOTREXATE,2.5 mg,Comprimé pelliculé,METHOTREXATE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"Leucémie aigüe lymphoblastique (LAL) en traitement d'entretien chez
les adultes et les patients pédiatriques.
- Psoriasis de l'adulte : psoriasis en grandes plaques, étendu et
résistant aux thérapeutiques classiques (puvathérapie, rétinoïdes),
érythr",Générique
METHOTREXATE ACCORD,25 mg/ml,Solution injectable,METHOTREXATE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"- Choriocarcinome placentaire
- Adénocarcinomes mammaires et ovariens: traitement adjuvant ou aprés
rechute
- Carcinomes de bronches à petites cellules
- Carcinomes de voies aérodigestives supérieures
- Carcinomes vésicaux
- Leucémies aigues lymphobl",Générique
METHOTREXATE ACCORD,500 mg/20ml,Solution injectable,METHOTREXATE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"- Choriocarcinome placentaire
- Adénocarcinomes mammaires et ovariens: traitement adjuvant ou aprés
rechute
- Carcinomes de bronches à petites cellules
- Carcinomes de voies aérodigestives supérieures
- Carcinomes vésicaux
- Leucémies aigues lymphobl",Générique
